Item #,Latitude,Longitude,Zip_Code,State Abbrv. ,State,Year,TimeStamp,Event (short name),Event Description,Event Class,Gender of Victim(s),Source,Permanent URL
1,40.728007,-73.795853,11366,NY,New York,2016,2016-08-13T00:00:00,Homicide,"Alauddin Akonjee, an Imam in Queens, New York, and his assistant, Thara Miah, are shot and killed in broad daylight by Oscar Morel of Brooklyn, New York.",crimes against people,male,,
2,25.740529,-80.222168,33133,FL,Florida,2016,2016-08-03T00:00:00,Airport Discrimination,"Niala Mohammad, a journalist for Voice of America, and a friend are removed from an American Airlines flight for non-compliance after inquiring into a lengthy delay.",bias-related incident (targeting individual or specific group),female,,
3,43.644026,-79.365234,,ON,Ontario,2016,2016-01-18T00:00:00,Airport Discrimination,"Shan Anand, Faimul Alam, W.H., and M.K., four of six friends returning home to New York from Toronto, are removed from an American Airlines flight because they made the crew uncomfortable. Three of the four removed are Muslim, while the fourth is Sikh.",bias-related incident (targeting individual or specific group),male,,
4,28.536275,-81.381912,32801,FL,Florida,2016,2016-09-11T00:00:00,Vandalism,"A fire destroys the Islamic Center of Fort Pierce, Florida. A security camera captures someone fleeing from the scene as the fire broke out. Omar Mateen, who killed and injured dozens of people at the Pulse nightclub in Orlando, was once a member of the congregation.",crimes against property,male and female,,
5,42.759113,-71.466064,3060,NH,New Hampshire,2016,2016-09-11T00:00:00,Vandalism,An unknown suspect or suspects throws three rocks through the windows of the Islamic Society of Greater Nashua mosque.,crimes against property,male and female,,
6,40.681419,-73.975067,11217,NY,New York,2016,2016-09-08T00:00:00,Assault,"Emirjeta Xhelili of Brooklyn, New York, assaults two Muslim women walking their children in strollers, trying to forcibly remove their headscarves, pushing the strollers to the ground, shouting obsenities, and telling the women to leave the United States.",crimes against people,female,http://www.nydailynews.com/new-york/nyc-crime/bigot-pleads-guilty-rip-hijabs-muslims-article-1.3669068,
7,44.976457,-93.262939,55401,MN,Minnesota,2015,2015-09-30T00:00:00,Violent Threat,"A Minneapolis man sends an anonymous letter to the Tawfiq Islamic Center, threatening to blow up the building. The letter also inlcuded racial and religious slurs. The suspect was identified and federal hate crime charges were subsequently filed, to which he pled guilty.",bias-related incident (targeting individual or specific group),male and female,http://www.startribune.com/man-who-threatened-to-blow-up-south-minneapolis-mosque-pleads-guilty-to-federal-hate-crime/403867426/,
8,36.137875,-95.998535,74107,OK,Oklahoma,2016,2016-08-12T00:00:00,Homicide,"Khalid Jabara is shot and killed by his neighbor, Vernon Majors, in Tulsa, OK. Jabara and his family, Lebanese Christians, filed repeated reports with law enforcement about the neighbor, who regularly verbally abused them with profanity and racist comments about Muslims.",crimes against people,male and female,https://www.washingtonpost.com/news/morning-mix/wp/2016/08/16/mans-unusual-fixation-with-lebanese-neighbors-led-to-murder-tulsa-police-say/?utm_term=.d6edb22f3aac,
10,39.943436,-75.157471,19147,PA,Pennsylvania,2016,2016-07-26T00:00:00,National Political Speech,"Former President Bill Clinton, speaking at the Democratic National Convention, welcomes Muslims who love America and freedom and hate terror to help build a future in the United States. Many American Muslims objected to their inclusion only in the context of terrorism.",public speech (political figures),male and female,https://www.pri.org/stories/2016-07-27/bill-clintons-line-american-muslims,
11,38.848264,-77.304611,22030,VA,Virginia,2013,2013-05-01T00:00:00,Violent Incident,A Muslim cabdriver is assaulted by a drunk man in Farifax VA who blames him for the September 11 attacks.æThe man's attack is unprompted and caught on video on the driver's phone.æ,bias-related incident (targeting individual or specific group),male,https://www.washingtonpost.com/local/muslim-cabdriver-alleges-assault-by-passenger-who-cited-boston-bombings/2013/04/30/9fa45a7c-b0d2-11e2-bbf2-a6f9e9d79e19_story.html?utm_term=.3f61251b8b0d,
